fecha,promedio_usdt_bob,tc_oficial,sobreprecio_vs_oficial_%,fuente
2026-06-21,9.929,6.96,42.66,Binance P2P
2026-06-22,9.955,6.96,43.03,Binance P2P
2026-06-23,9.931,6.96,42.69,Binance P2P
2026-06-24,9.891,6.96,42.11,Binance P2P
2026-06-25,9.88,6.96,41.95,Binance P2P
2026-06-26,9.869,6.96,41.8,Binance P2P
2026-06-27,9.942,6.96,42.84,Binance P2P
2026-06-28,9.906,6.96,42.33,Binance P2P
2026-06-29,9.864,6.96,41.72,Binance P2P
2026-06-30,9.89,6.96,42.1,Binance P2P
2026-07-01,9.931,6.96,42.69,Binance P2P
2026-07-02,9.978,6.96,43.36,Binance P2P
2026-07-03,9.937,6.96,42.77,Binance P2P
2026-07-04,9.964,6.96,43.16,Binance P2P
2026-07-05,9.966,6.96,43.19,Binance P2P
2026-07-06,9.974,6.96,43.3,Binance P2P
2026-07-07,9.996,6.96,43.62,Binance P2P
2026-07-08,10.116,6.96,45.34,Binance P2P
2026-07-09,10.363,6.96,48.89,Binance P2P
2026-07-10,10.53,6.96,51.29,Binance P2P
2026-07-11,10.556,6.96,51.67,Binance P2P
2026-07-12,10.416,6.96,49.66,Binance P2P
2026-07-13,10.468,6.96,50.4,Binance P2P
2026-07-14,10.5,6.96,50.86,Binance P2P
2026-07-15,10.596,6.96,52.24,Binance P2P
2026-07-16,10.676,6.96,53.39,Binance P2P
2026-07-17,10.708,6.96,53.85,Binance P2P
2026-07-18,10.687,6.96,53.55,Binance P2P
2026-07-19,10.734,6.96,54.22,Binance P2P
2026-07-20,10.772,6.96,54.77,Binance P2P
2026-07-21,10.953,6.96,57.37,Binance P2P
2026-07-22,11.624,6.96,67.01,Binance P2P
2026-07-23,11.544,6.96,65.86,Binance P2P
2026-07-24,11.693,6.96,68.0,Binance P2P
2026-07-25,11.774,6.96,69.17,Binance P2P
2026-07-26,11.488,6.96,65.06,Binance P2P
2026-07-27,11.624,6.96,67.01,Binance P2P
2026-07-28,11.594,6.96,66.58,Binance P2P
2026-07-29,11.791,6.96,69.41,Binance P2P
2026-07-30,11.872,6.96,70.57,Binance P2P
2026-07-31,12.003,6.96,72.46,Binance P2P
2026-08-01,11.861,6.96,70.42,Binance P2P
2026-08-02,11.659,6.96,67.51,Binance P2P
2026-08-03,11.707,6.96,68.2,Binance P2P
2026-08-04,11.765,6.96,69.04,Binance P2P
2026-08-05,11.63,6.96,67.1,Binance P2P
2026-08-06,11.314,6.96,62.56,Binance P2P
2026-08-07,11.088,6.96,59.31,Binance P2P
2026-08-08,11.145,6.96,60.13,Binance P2P
2026-08-09,11.183,6.96,60.68,Binance P2P
2026-08-10,11.424,6.96,64.14,Binance P2P
2026-08-12,11.445,6.96,64.44,Binance P2P
2026-08-13,11.492,6.96,65.11,Binance P2P
2026-08-14,11.442,6.96,64.4,Binance P2P
2026-08-15,11.404,6.96,63.85,Binance P2P
2026-08-16,11.494,6.96,65.14,Binance P2P
2026-08-17,11.527,6.96,65.62,Binance P2P
2026-08-18,11.605,6.96,66.74,Binance P2P
